0,1,2,3,4,5,6,7,8
0,0.05,0.05,0.05,0,0.01,0.01,0.01,0
0,0.1,0.05,0.01,0,0.1,0.05,0.01,0
0,44.89,58.8,89.78,0.05,229.1,298.1,458.2,0.01
1,10.95,13.35,18.68,0.35,26.18,31.93,44.68,0.14
2,6.51,7.7,10.28,0.82,12.2,14.43,19.27,0.43
3,4.89,5.67,7.35,1.36,8.11,9.41,12.2,0.82
4,4.06,4.65,5.89,1.97,6.24,7.15,9.07,1.27
5,3.55,4.02,5.01,2.61,5.19,5.88,7.34,1.78
6,3.21,3.6,4.43,3.28,4.52,5.08,6.25,2.33
7,2.96,3.3,4.01,3.98,4.05,4.52,5.5,2.9
8,2.77,3.07,3.7,4.69,3.7,4.11,4.96,3.5
9,2.62,2.89,3.46,5.42,3.44,3.8,4.54,4.13
10,2.5,2.75,3.26,6.16,3.22,3.55,4.22,4.77
11,2.4,2.63,3.1,6.92,3.05,3.35,3.95,5.42
12,2.31,2.53,2.96,7.69,2.91,3.18,3.74,6.09
13,2.24,2.44,2.85,8.46,2.79,3.04,3.55,6.78
14,2.17,2.37,2.75,9.24,2.69,2.92,3.4,7.47
15,2.12,2.3,2.66,10.03,2.6,2.82,3.26,8.18
16,2.07,2.24,2.58,10.83,2.52,2.73,3.15,8.89
17,2.03,2.19,2.52,11.63,2.45,2.65,3.04,9.61
18,1.99,2.14,2.45,12.44,2.39,2.58,2.95,10.34
19,1.95,2.1,2.4,12.25,2.33,2.51,2.87,11.08
20,1.92,2.06,2.35,14.07,2.28,2.45,2.79,11.82
21,1.89,2.03,2.3,14.89,2.24,2.4,2.73,12.57
22,1.86,2,2.26,15.71,2.2,2.35,2.67,13.32
23,1.84,1.97,2.22,16.54,2.16,2.31,2.61,14.08
24,1.82,1.94,2.19,17.38,2.12,2.27,2.56,14.85
25,1.79,1.92,2.15,18.21,2.09,2.23,2.51,15.62
